Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
d0wn-fr-ns2,OpenNIC Resolver France NS2 @ Ports 54 443 1053 5353 27015,provided by dns.d0wn.biz,France,,https://dns.d0wn.biz,1,no,yes,yes,37.187.0.40,2.dnscrypt-cert.fr2.d0wn.biz,25A7:DB7B:7835:55D5:7DA4:7C0C:57F8:9C5F:0220:3D09:67E3:585A:723E:E0D1:CB38:F767,pubkey.fr2.dnscrypt.d0wn.biz
d0wn-sg-ns1,OpenNIC Resolver Singapore NS1 @ Ports 54 443 1053 5353 27015,provided by dns.d0wn.biz,Singapore,,https://dns.d0wn.biz,1,no,yes,yes,128.199.248.105,2.dnscrypt-cert.sg.d0wn.biz,D82B:2B76:1DA0:8470:B55B:820C:FAAB:9F32:D632:E9E0:5616:2CE7:7D21:E970:98FF:4A34,pubkey.sg.dnscrypt.d0wn.biz
d0wn-nl-ns1,OpenNIC Resolver Netherlands NS1 @ Ports 54 80 1053 5353 27015,provided by dns.d0wn.biz,Netherlands,,https://dns.d0wn.biz,1,no,yes,yes,95.85.9.86,2.dnscrypt-cert.nl.d0wn.biz,7BE6:68FE:A505:FFA7:4C27:C2CA:F881:59DA:038C:5741:13AA:2556:A4D2:2D0B:B6F0:009E,pubkey.nl.dnscrypt.d0wn.biz
d0wn-nl-ns2,OpenNIC Resolver Netherlands NS2 @ Ports 54 1053 5353 27015,provided by dns.d0wn.biz,Netherlands,,https://dns.d0wn.biz,1,no,yes,yes,185.83.217.248,2.dnscrypt-cert.nl2.d0wn.biz,DFAA:B7D8:29E6:1F34:4FED:2610:4221:70C9:ADC7:7E9F:A65F:4A46:0BAE:A735:3186:3B99,pubkey.nl2.dnscrypt.d0wn.biz
d0wn-de-ns1,OpenNIC Resolver Germany NS1 @ Ports 54 80 443 1053 5353 27015,provided by dns.d0wn.biz,Germany,,https://dns.d0wn.biz,1,no,yes,yes,82.211.31.248,2.dnscrypt-cert.de.d0wn.biz,D4A8:6FB5:AA0C:2B6B:8C13:8C29:7F69:F9C8:29C8:E157:F279:6FC7:7366:290F:2A80:0AD2,pubkey.de.dnscrypt.d0wn.biz
d0wn-md-ns1,OpenNIC Resolver Moldova NS1 @ Ports 54 1053 5353 27015,provided by dns.d0wn.biz,Moldova,,https://dns.d0wn.biz,1,no,yes,yes,178.17.170.67,2.dnscrypt-cert.md.d0wn.biz,3DB2:C4CB:39E2:6B82:FDDF:6D91:1A65:D164:F4F0:D237:8CDD:0C37:469F:24BA:B9A0:F9FF,pubkey.md.dnscrypt.d0wn.biz
d0wn-ru-ns1,OpenNIC Resolver Russia NS1 @ Ports 54 80 443 1053 5353 27015,provided by dns.d0wn.biz,Russia,,https://dns.d0wn.biz,1,no,yes,yes,91.214.71.181,2.dnscrypt-cert.ru.d0wn.biz,0ECA:BC40:E0A1:335F:0221:4240:AB86:2919:D16A:2393:CCEB:4B40:9EB9:4F24:3077:ED99,pubkey.ru.dnscrypt.d0wn.biz
d0wn-ua-ns1,OpenNIC Resolver Ukraine NS1 @ Ports 54 80 443 1053 5353 27015,provided by dns.d0wn.biz,Ukraine,,https://dns.d0wn.biz,1,no,yes,yes,217.12.210.54,2.dnscrypt-cert.ua.d0wn.biz,3B1E:D468:FFD3:F261:20DE:E7F1:6A74:E1D5:D59E:B40D:F3EA:99BC:0B05:70CC:292D:99BA,pubkey.ua.dnscrypt.d0wn.biz
d0wn-bg-ns1,OpenNIC Resolver Bulgaria NS1 @ Ports 54 80 443 1053 5353 27015,provided by dns.d0wn.biz,Bulgaria,,https://dns.d0wn.biz,1,no,yes,yes,217.12.203.133,2.dnscrypt-cert.bg.d0wn.biz,423C:D823:B3EA:2015:F027:ECF1:5704:3EB7:764A:D02D:9447:56E6:51FD:D06F:E571:2FCC,pubkey.bg.dnscrypt.d0wn.biz
d0wn-dk-ns1,OpenNIC Resolver Denmark NS1 @ Ports 54 80 443 1053 5353 27015,provided by dns.d0wn.biz,Denmark,,https://dns.d0wn.biz,1,no,yes,yes,77.66.108.93,2.dnscrypt-cert.dk.d0wn.biz,0838:C9CF:2292:2D4C:4DB7:4A5E:ED10:DD36:66DD:9551:7238:6387:B7A0:2FA0:885A:5F77,pubkey.dk.dnscrypt.d0wn.biz
